name,urls,pix
httpswww.samitivejhospitals.comprogramdetailbasic-for-male-female-svh,https://www.samitivejhospitals.com/program/detail/basic-for-male-female-svh,checkupMF.gif
httpswww.samitivejhospitals.comprogramdetailbasic-for-female-plus-TP-svh,https://www.samitivejhospitals.com/program/detail/basic-for-female-plus-TP-svh,checkupF.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh,https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh(2),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh(3),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh (4),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh (5),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh (6),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh (7),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh (8),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh (9),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh(10),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh(11),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh(12),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh(13),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh(14),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh(15),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh](16),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh(17),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh(18),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh(19),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh(20),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh(21),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh(22),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpssamitivejhospitals.compackagedetailget-summer-get-fit-verity-snh(23),https://samitivejhospitals.com/package/detail/get-summer-get-fit-verity-snh,summerfit.gif
httpswww.samitivejhospitals.comthpackagedetaildigital-total-health-solution,https://www.samitivejhospitals.com/th/package/detail/digital-total-health-solution,digitalhealth.gif
httpswww.samitivejhospitals.compackagedetailinfertility-treatment-plan-and-package,https://www.samitivejhospitals.com/package/detail/infertility-treatment-plan-and-package,infertile.gif
httpswww.samitivejhospitals.compackagedetailget-summer-get-fit-verity-svh,https://www.samitivejhospitals.com/package/detail/get-summer-get-fit-verity-svh,summerfit.gif
httpswww.samitivejhospitals.compackagedetailannual-health-check-up-packages-samitivej-sukhumvit,https://www.samitivejhospitals.com/package/detail/annual-health-check-up-packages-samitivej-sukhumvit,annualcheckup.gif
httpssamitivejhospitals.compackagedetailannual-health-check-up-packages-samitivej-srinakarin,https://samitivejhospitals.com/package/detail/annual-health-check-up-packages-samitivej-srinakarin,checkup.gif
httpssamitivejhospitals.compackagedetailhealth-screening-programs-for-the-elderly,https://samitivejhospitals.com/package/detail/health-screening-programs-for-the-elderly,elderscreen.gif
httpssamitivejhospitals.compackagedetailelderly-checkup,https://samitivejhospitals.com/package/detail/elderly-checkup,ageover60.gif
httpssamitivejhospitals.compackagedetailalzheimer-s-disease-risk-screening-programs,https://samitivejhospitals.com/package/detail/alzheimer-s-disease-risk-screening-programs,alzhei.gif
httpssamitivejhospitals.compackagedetailrejuran-skin-booster,https://samitivejhospitals.com/package/detail/rejuran-skin-booster,rejuvenate.gif
httpssamitivejhospitals.compackagedetailPlatelet-rich-plasma,https://samitivejhospitals.com/package/detail/Platelet-rich-plasma,jointinj.gif
httpssamitivejhospitals.compackagedetailelite-delivery-package,https://samitivejhospitals.com/package/detail/elite-delivery-package,elitedel.gif
httpssamitivejhospitals.compackagedetailhealth-checkup-for-diving,https://samitivejhospitals.com/package/detail/health-checkup-for-diving,divers.gif
httpssamitivejhospitals.compackagedetailshingles-vaccine,https://samitivejhospitals.com/package/detail/shingles-vaccine,shingles.gif
httpssamitivejhospitals.compackagedetailEV71-Vaccine-for-HFMD-Prevention,https://samitivejhospitals.com/package/detail/EV71-Vaccine-for-HFMD-Prevention,handfoot.gif
httpssamitivejhospitals.compackagedetailfit-to-play,https://samitivejhospitals.com/package/detail/fit-to-play,fitplay.gif
httpssamitivejhospitals.compackagedetailglaucoma-screening-package,https://samitivejhospitals.com/package/detail/glaucoma-screening-package,glaucoma.gif
httpssamitivejhospitals.comprogramdetailfull-glaucoma-workuppackage210,https://samitivejhospitals.com/program/detail/full-glaucoma-workup?package=210,glaucoma2.gif
httpssamitivejhospitals.compackagedetailLaser-Hemorrhoidectomy,https://samitivejhospitals.com/package/detail/Laser-Hemorrhoidectomy,hemorrhoids.gif
httpssamitivejhospitals.compackagedetailathletes-physical-assessment-rehabilitation-programs-bangkok-thailand-snh,https://samitivejhospitals.com/package/detail/athletes-physical-assessment-rehabilitation-programs-bangkok-thailand-snh,rehab2.gif
httpssamitivejhospitals.compackagedetailSVH-Life-Fit-Program,https://samitivejhospitals.com/package/detail/SVH-Life-Fit-Program,lifefit.gif
httpssamitivejhospitals.comarticledetailrunning-analysis,https://samitivejhospitals.com/article/detail/running-analysis,running.gif
httpssamitivejhospitals.compackagedetailathletes-physical-assessment-rehabilitation-programs-bangkok-thailand-svh,https://samitivejhospitals.com/package/detail/athletes-physical-assessment-rehabilitation-programs-bangkok-thailand-svh,rehab.gif
httpssamitivejhospitals.compackagedetailadjustable-gastric-balloon,https://samitivejhospitals.com/package/detail/adjustable-gastric-balloon,adjustballoon.gif
httpssamitivejhospitals.compackagedetailhealthy-kid-programs,https://samitivejhospitals.com/package/detail/healthy-kid-programs,healthkids.gif
httpssamitivejhospitals.comprogramdetailhealthy-kid-active-program-health-checkup-for-under-15-years-ppackage=187,https://samitivejhospitals.com/program/detail/healthy-kid-active-program-health-checkup-for-under-15-years-p?package=187,healthkidsunder15.gif
httpssamitivejhospitals.comprogramdetailhealthy-kid-active-program-health-checkup-for-under-15-years-ppackage187,https://samitivejhospitals.com/program/detail/healthy-kid-advanced-program-health-checkup-for-6-15-years-p?package=187,healthkids615.gif
httpssamitivejhospitals.compackagedetailvital-infusion,https://samitivejhospitals.com/package/detail/vital-infusion,vitalinf.gif
httpssamitivejhospitals.compackagedetailhealth-screening-programs-for-golfers,https://samitivejhospitals.com/package/detail/health-screening-programs-for-golfers,golf.gif
httpswww.samitivejhospitals.comprogramdetailhappy-life-program-TPI-screening,https://www.samitivejhospitals.com/program/detail/happy-life-program-TPI-screening,golf2.gif
httpswww.samitivejhospitals.comprogramdetaileye-screening-TPI,https://www.samitivejhospitals.com/program/detail/eye-screening-TPI,golf3.gif
httpswww.samitivejhospitals.comprogramdetailhappy-life-program-TPI-Eye-screening,https://www.samitivejhospitals.com/program/detail/happy-life-program-TPI-Eye-screening,golf4.gif
httpssamitivejhospitals.compackagedetailpre-marital-screening-svh,https://samitivejhospitals.com/package/detail/pre-marital-screening-svh,familyplan.gif
httpswww.samitivejhospitals.comprogramdetailPre-marriage-Screening-for-Male,https://www.samitivejhospitals.com/program/detail/Pre-marriage-Screening-for-Male,familyplan2.gif
httpswww.samitivejhospitals.comprogramdetailPre-marriage-Screening-Female,https://www.samitivejhospitals.com/program/detail/Pre-marriage-Screening-Female,familyplan3.gif
httpssamitivejhospitals.compackagedetaildementia-prediction-program,https://samitivejhospitals.com/package/detail/dementia-prediction-program,dementia.gif
httpssamitivejhospitals.compackagedetailflu-vaccine-children-bangkok,https://samitivejhospitals.com/package/detail/flu-vaccine-children-bangkok,express.gif
httpssamitivejhospitals.compackagedetailgut-microbiome-program,https://samitivejhospitals.com/package/detail/gut-microbiome-program,microbiome.gif
httpssamitivejhospitals.compackagedetailbone-age-x-ray-screening,https://samitivejhospitals.com/package/detail/bone-age-x-ray-screening,precocious.gif
httpssamitivejhospitals.compackagedetailSwallowing-Disorder-Detection-Packages,https://samitivejhospitals.com/package/detail/Swallowing-Disorder-Detection-Packages,aspirate.gif
httpssamitivejhospitals.compackagedetailsmart-mobility-for-senior,https://samitivejhospitals.com/package/detail/smart-mobility-for-senior,mobile.gif
httpssamitivejhospitals.compackagedetailVision-Care,https://samitivejhospitals.com/package/detail/Vision-Care,vision.gif
httpssamitivejhospitals.compackagedetailpm-2-5-screening-snh,https://samitivejhospitals.com/package/detail/pm-2-5-screening-snh,PM25.gif
httpssamitivejhospitals.compackagedetailfit-to-play-football,https://samitivejhospitals.com/package/detail/fit-to-play-football,sport.gif
httpssamitivejhospitals.comprogramdetailfit-to-play-football-age-15-18package230,https://samitivejhospitals.com/program/detail/fit-to-play-football-age-15-18?package=230,sport2.gif
httpssamitivejhospitals.comprogramdetailfit-to-play-football-age-18-35package230,https://samitivejhospitals.com/program/detail/fit-to-play-football-age-18-35?package=230,sport3.gif
httpssamitivejhospitals.comprogramdetailfit-to-play-football-age-0ver-35package230,https://samitivejhospitals.com/program/detail/fit-to-play-football-age-0ver-35?package=230,sport4.gif
httpssamitivejhospitals.comprogramdetailfit-to-play-football-professionalpackage230,https://samitivejhospitals.com/program/detail/fit-to-play-football-professional?package=230,sport5.gif
httpssamitivejhospitals.compackagedetailvacuum-assisted-breast-biopsy,https://samitivejhospitals.com/package/detail/vacuum-assisted-breast-biopsy,breastbx.gif
httpssamitivejhospitals.compackagedetailmiami-peel,https://samitivejhospitals.com/package/detail/miami-peel,miami.gif
httpssamitivejhospitals.compackagedetailfit-for-run,https://samitivejhospitals.com/package/detail/fit-for-run,run.gif
httpssamitivejhospitals.comprogramdetailfitness-for-run-checkup-for-35-years-and-underpackage9,https://samitivejhospitals.com/program/detail/fitness-for-run-checkup-for-35-years-and-under?package=9,run2.gif
httpssamitivejhospitals.comprogramdetailfitness-for-run-checkup-for-35-years-and-abovepackage9,https://samitivejhospitals.com/program/detail/fitness-for-run-checkup-for-35-years-and-above?package=9,run3.gif
httpssamitivejhospitals.compackagedetailpulmonary-function-screening-for-children,https://samitivejhospitals.com/package/detail/pulmonary-function-screening-for-children,LFTkid.gif
httpssamitivejhospitals.compackagedetailFeNO,https://samitivejhospitals.com/package/detail/FeNO,PM25kid.gif
httpssamitivejhospitals.compackagedetaildengue-vaccine-for-children,https://samitivejhospitals.com/package/detail/dengue-vaccine-for-children,dengue.gif
httpssamitivejhospitals.compackagedetailgift-of-health-voucher,https://samitivejhospitals.com/package/detail/gift-of-health-voucher,gift.gif
httpssamitivejhospitals.comprogramdetailpersonalized-gift-of-heath-emeraldpackage247,https://samitivejhospitals.com/program/detail/personalized-gift-of-heath-emerald?package=247,gift2.gif
httpssamitivejhospitals.comprogramdetailpersonalized-gift-of-heath-goldpackage247,https://samitivejhospitals.com/program/detail/personalized-gift-of-heath-gold?package=247,gift3.gif
httpssamitivejhospitals.compackagedetailSkin-booster-program,https://samitivejhospitals.com/package/detail/Skin-booster-program,mask.gif
httpssamitivejhospitals.compackagedetailimmune-system-screening,https://samitivejhospitals.com/package/detail/immune-system-screening,DIY.gif
httpssamitivejhospitals.compackagedetailtriathlon-screening,https://samitivejhospitals.com/package/detail/triathlon-screening,athletes.gif
httpssamitivejhospitals.compackagedetailEFLUELDA,https://samitivejhospitals.com/package/detail/EFLUELDA,flusenior.gif
httpssamitivejhospitals.compackagedetaildengue-vaccine,https://samitivejhospitals.com/package/detail/dengue-vaccine,4dengue.gif
httpswww.samitivejhospitals.compagemygene,https://www.samitivejhospitals.com/page/mygene,ovum.gif
httpswww.samitivejhospitals.compackagedetailsleep-apnea-screening-samitivej-srinakarin,https://www.samitivejhospitals.com/package/detail/sleep-apnea-screening-samitivej-srinakarin,sleep.gif
httpswww.samitivejhospitals.compackagedetailvaccine-fast-track-samitivej-srinakarin,https://www.samitivejhospitals.com/package/detail/vaccine-fast-track-samitivej-srinakarin,vaccine.gif
httpswww.samitivejhospitals.compackagedetailchildbirth-delivery-packages-svh,https://www.samitivejhospitals.com/package/detail/childbirth-delivery-packages-svh,labor.gif
,,
,,
,,
,,
,,
,,
,,
,,
,,
